HabHyg,Hip,Hab?,Display Name,Hyg,BayerFlamsteed,Gliese,BD,HD,HR,Proper Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
93,0,,Gl 752 B,87126,,Gl 752 B,,,-,,dM5 e,5.9,4.5,3.8,-0.3,18.67556315
94,37766,,Gl 285,27654,,Gl 285,,,,,M4.5Ve,5.9,-4.7,-3.4,1.4,12.33415905
95,73184,,Gl 570,52958,,Gl 570,,131977,5568,,K4V,5.9,4.6,-1.8,3.2,6.893541299
96,76074,1,Gl 588,54906,,Gl 588,,,,,M0,5.9,5.2,-2.7,1.2,10.44325725
97,94761,,Gl 752,68481,,Gl 752,,180617,,,M3.5V,5.9,4.5,3.8,-0.3,10.26556315
98,0,,Gl 34 B,85824,,Gl 34 B,,,-,,K7 V,6,-3.2,5,-0.5,8.63641715
99,0,,36 Ophiuchi,86981,36 Ophiuchi,Gl 663,,155886,6402,,K1 Ve,6,5.9,-0.2,0.7,6.184622333
100,3821,,24 Eta Cassiopeiae,2666,24 Eta Cassiopeiae,Gl 34,,4614,219,,G0V SB,6,-3.2,5,-0.5,4.57641715
101,84405,,36 Ophiuchi,60718,36 Ophiuchi,Gl 663 B,,155885,6401,,K2:III:,6,5.9,-0.2,0.7,6.224622333
102,84478,,Gl 664,60770,,Gl 664,,156026,,,K5V,6,5.9,-0.2,0.7,7.450851758
103,117473,,Gl 908,85152,,Gl 908,,,,,M2V,6,-0.2,3.3,-5,10.10020369
104,0,,NN 3323,86162,,NN 3323,,,-,,m,6.1,-4.9,-2.4,-2.8,13.16093802
105,0,,GJ 1221,87030,,GJ 1221,,,-,,DXP9,6.1,-1,5.2,3.1,15.208272
106,0,,Gl 783 B,87186,,Gl 783 B,,,-,,M3.5,6.1,5.2,0.5,-3.1,12.59057593
107,15510,,82 Eridani,10892,82 Eridani,Gl 139,,20794,1008,,G8V,6.1,-1.1,-3.2,-5,5.347682914
108,71253,1,BD-11°3759,51649,,Gl 555,BD-11°3759,,,,M4,6.1,4.1,-1.6,4.2,12.37772159
109,99240,1,Delta Pavonis,71911,Delta Pavonis,Gl 780,,190248,7665,,G5IV-Vvar,6.1,4.5,-2.6,-3.3,4.630641309
110,99461,,Gl 783,72089,,Gl 783,,191408,7703,,K2V,6.1,5.2,0.5,-3.1,6.410575932
111,0,,NN 3454,86310,,NN 3454,,,-,,m,6.2,-5.1,-3.2,1.4,14.26757507
112,0,,GJ 1128,86468,,GJ 1128,,,-,,m,6.2,1.8,-5.8,-1.3,13.81412938
113,0,,NN 3877,86838,,NN 3877,,,-,,dM8,6.2,5,-2.4,2.8,18.08412938
114,0,,Gl 896 B,87426,,Gl 896 B,,,-,,dM6 e,6.2,-0.7,4.8,-3.9,13.42141406
115,45343,,Gl 338,33545,,Gl 338,,79210,,,M0V,6.2,-4.4,1.2,4.2,8.662072405
116,86961,,Hip 86961,62600,,,,,,,M2V:,6.2,6.2,-0.3,-0.2,11.53448993
117,86963,,Hip 86963,62601,,,,,,,M2V:,6.2,6.2,-0.3,-0.2,12.43448993
118,99701,1,Gl 784,72269,,Gl 784,,191849,,,M0V,6.2,5.2,-0.5,-3.4,9.00642103
119,116132,,Gl 896,84222,,Gl 896,,,,,M6Ve,6.2,-0.7,4.8,-3.9,11.40141406
120,0,,Gl 661 B,86980,,Gl 661 B,,,-,,M3.5,6.3,1.6,4.8,3.7,11.39562057
121,74995,1,BD-07°4003,54185,,Gl 581,BD-07°4003,,,,M5,6.3,4.8,-0.5,4,11.5740757
122,84140,1,BD+45°2505,60536,,Gl 661,BD+45°2505,155876,,,K5,6.3,1.6,4.8,3.7,10.95562057
123,120005,,Gl 338 B,33548,,Gl 338 B,,79211,,,K2,6.3,-4.5,1.2,4.3,8.723531135
124,0,,GJ 2097,86703,,GJ 2097,,,-,,m,6.4,0.7,-0.4,6.4,13.54562299
125,34603,,Gl 268,25198,,Gl 268,,,,,M5Ve,6.4,-6,0.1,2.2,12.47281518
126,54298,,Hip 54298,40195,,,,,,,,6.4,1.9,-6.1,0.7,12.64557761
127,0,,Gl 223.2,86219,,Gl 223.2,,,-,,DZ9,6.5,-5.4,-3.1,-1.6,15.39885478
128,0,,GJ 1156,86649,,GJ 1156,,,-,,dM e,6.5,0.2,-2,6.2,14.73203743
129,82809,,Gl 643,59563,,Gl 643,,,,,M4,6.5,5.9,1.2,2.3,12.73703951
130,114622,,Gl 892,83171,,Gl 892,,219134,8832,,K3Vvar,6.5,-2.2,6.1,-0.4,6.486860717
131,53767,1,Gl 408,39825,,Gl 408,,,,,M3,6.6,-2.3,-1.7,6,10.91430944
132,80459,1,Gl 625,57885,,Gl 625,,,,,M2,6.6,0.6,4.8,4.5,11.02821769
